Entity,http://purl.obolibrary.org/obo/IAO_0000115,
http://purl.allotrope.org/ontologies/realizable#AFRE_0000002,,
http://purl.obolibrary.org/obo/BFO_0000001,,
http://purl.obolibrary.org/obo/BFO_0000002,,
http://purl.obolibrary.org/obo/BFO_0000003,,
http://purl.obolibrary.org/obo/BFO_0000004,"'b is an independent continuant = Def. b is a continuant which is such that there is no c and no t such that b s-depends_on c at t. (axiom label in BFO2 Reference: [017-002])'",
http://purl.obolibrary.org/obo/BFO_0000006,,
http://purl.obolibrary.org/obo/BFO_0000008,,
http://purl.obolibrary.org/obo/BFO_0000009,,
http://purl.obolibrary.org/obo/BFO_0000011,,
http://purl.obolibrary.org/obo/BFO_0000015,"'p is a process = Def. p is an occurrent that has temporal proper parts and for some time t, p s-depends_on some material entity at t. (axiom label in BFO2 Reference: [083-003])'",
http://purl.obolibrary.org/obo/BFO_0000016,,
http://purl.obolibrary.org/obo/BFO_0000017,,
http://purl.obolibrary.org/obo/BFO_0000018,,
http://purl.obolibrary.org/obo/BFO_0000019,,
http://purl.obolibrary.org/obo/BFO_0000020,"'b is a specifically dependent continuant = Def. b is a continuant & there is some independent continuant c which is not a spatial region and which is such that b s-depends_on c at every time t during the course of b’s existence. (axiom label in BFO2 Reference: [050-003])'",
http://purl.obolibrary.org/obo/BFO_0000023,,
http://purl.obolibrary.org/obo/BFO_0000024,,
http://purl.obolibrary.org/obo/BFO_0000026,,
http://purl.obolibrary.org/obo/BFO_0000027,,
http://purl.obolibrary.org/obo/BFO_0000028,,
http://purl.obolibrary.org/obo/BFO_0000029,,
http://purl.obolibrary.org/obo/BFO_0000030,,
http://purl.obolibrary.org/obo/BFO_0000031,"'b is a generically dependent continuant = Def. b is a continuant that g-depends_on one or more other entities. (axiom label in BFO2 Reference: [074-001])'",
http://purl.obolibrary.org/obo/BFO_0000034,,
http://purl.obolibrary.org/obo/BFO_0000035,"'p is a process boundary =Def. p is a temporal part of a process & p has no proper temporal parts. (axiom label in BFO2 Reference: [084-001])'",
http://purl.obolibrary.org/obo/BFO_0000038,,
http://purl.obolibrary.org/obo/BFO_0000040,,
http://purl.obolibrary.org/obo/BFO_0000140,"'b is a continuant fiat boundary = Def. b is an immaterial entity that is of zero, one or two dimensions and does not include a spatial region as part. (axiom label in BFO2 Reference: [029-001])'",
http://purl.obolibrary.org/obo/BFO_0000141,,
http://purl.obolibrary.org/obo/BFO_0000142,,
http://purl.obolibrary.org/obo/BFO_0000144,"'b is a process_profile =Def. there is some process c such that b process_profile_of c (axiom label in BFO2 Reference: [093-002])'",
http://purl.obolibrary.org/obo/BFO_0000145,"'b is a relational quality = Def. for some independent continuants c, d and for some time t: b quality_of c at t & b quality_of d at t. (axiom label in BFO2 Reference: [057-001])'",
http://purl.obolibrary.org/obo/BFO_0000146,,
http://purl.obolibrary.org/obo/BFO_0000147,,
http://purl.obolibrary.org/obo/BFO_0000148,,
http://purl.obolibrary.org/obo/BFO_0000182,,
http://purl.obolibrary.org/obo/CARO_0000043,,
http://purl.obolibrary.org/obo/CHEBI_16113,,
http://purl.obolibrary.org/obo/CHEBI_16670,,
http://purl.obolibrary.org/obo/CHEBI_16737,,
http://purl.obolibrary.org/obo/CHEBI_17234,,
http://purl.obolibrary.org/obo/CHEBI_17855,,
http://purl.obolibrary.org/obo/CHEBI_17929,,
http://purl.obolibrary.org/obo/CHEBI_18059,,
http://purl.obolibrary.org/obo/CHEBI_23367,,
http://purl.obolibrary.org/obo/CHEBI_24431,,
http://purl.obolibrary.org/obo/CHEBI_24432,,
http://purl.obolibrary.org/obo/CHEBI_24621,,
http://purl.obolibrary.org/obo/CHEBI_27226,,
http://purl.obolibrary.org/obo/CHEBI_27680,,
http://purl.obolibrary.org/obo/CHEBI_27899,,
http://purl.obolibrary.org/obo/CHEBI_35143,,
http://purl.obolibrary.org/obo/CHEBI_35664,,
http://purl.obolibrary.org/obo/CHEBI_47774,,
http://purl.obolibrary.org/obo/CHEBI_47775,,
http://purl.obolibrary.org/obo/CHEBI_47867,,
http://purl.obolibrary.org/obo/CHEBI_5931,,
http://purl.obolibrary.org/obo/CHMO_0000228,,
http://purl.obolibrary.org/obo/CHMO_0000470,,
http://purl.obolibrary.org/obo/CL_0000000,,
http://purl.obolibrary.org/obo/CL_0000084,,
http://purl.obolibrary.org/obo/CL_0000094,,
http://purl.obolibrary.org/obo/CL_0000542,,
http://purl.obolibrary.org/obo/CL_0000576,,
http://purl.obolibrary.org/obo/CL_0000738,,
http://purl.obolibrary.org/obo/CL_0000775,,
http://purl.obolibrary.org/obo/CMO_0000907,,
http://purl.obolibrary.org/obo/CMO_0001324,,
http://purl.obolibrary.org/obo/CMO_0002812,,
http://purl.obolibrary.org/obo/CMO_0003717,,
http://purl.obolibrary.org/obo/CMO_0003815,,
http://purl.obolibrary.org/obo/CTO_0000220,,
http://purl.obolibrary.org/obo/DOID_0014667,,
http://purl.obolibrary.org/obo/DOID_0050589,,
http://purl.obolibrary.org/obo/DOID_0050830,,
http://purl.obolibrary.org/obo/DOID_0060903,,
http://purl.obolibrary.org/obo/DOID_10283,,
http://purl.obolibrary.org/obo/DOID_10538,,
http://purl.obolibrary.org/obo/DOID_10591,,
http://purl.obolibrary.org/obo/DOID_10608,,
http://purl.obolibrary.org/obo/DOID_10763,,
http://purl.obolibrary.org/obo/DOID_114,,
http://purl.obolibrary.org/obo/DOID_11612,,
http://purl.obolibrary.org/obo/DOID_12858,,
http://purl.obolibrary.org/obo/DOID_1287,,
http://purl.obolibrary.org/obo/DOID_1324,,
http://purl.obolibrary.org/obo/DOID_14499,,
http://purl.obolibrary.org/obo/DOID_1575,,
http://purl.obolibrary.org/obo/DOID_1579,,
http://purl.obolibrary.org/obo/DOID_1612,,
http://purl.obolibrary.org/obo/DOID_162,,
http://purl.obolibrary.org/obo/DOID_178,,
http://purl.obolibrary.org/obo/DOID_2351,,
http://purl.obolibrary.org/obo/DOID_2355,,
http://purl.obolibrary.org/obo/DOID_2394,,
http://purl.obolibrary.org/obo/DOID_2841,,
http://purl.obolibrary.org/obo/DOID_3082,,
http://purl.obolibrary.org/obo/DOID_3312,,
http://purl.obolibrary.org/obo/DOID_3388,,
http://purl.obolibrary.org/obo/DOID_37,,
http://purl.obolibrary.org/obo/DOID_3908,,
http://purl.obolibrary.org/obo/DOID_4,,
http://purl.obolibrary.org/obo/DOID_409,,
http://purl.obolibrary.org/obo/DOID_417,,
http://purl.obolibrary.org/obo/DOID_4989,,
http://purl.obolibrary.org/obo/DOID_5082,,
http://purl.obolibrary.org/obo/DOID_557,,
http://purl.obolibrary.org/obo/DOID_576,,
http://purl.obolibrary.org/obo/DOID_5844,,
http://purl.obolibrary.org/obo/DOID_6000,,
http://purl.obolibrary.org/obo/DOID_6713,,
http://purl.obolibrary.org/obo/DOID_684,,
http://purl.obolibrary.org/obo/DOID_784,,
http://purl.obolibrary.org/obo/DOID_850,,
http://purl.obolibrary.org/obo/DOID_8893,,
http://purl.obolibrary.org/obo/DOID_9256,,
http://purl.obolibrary.org/obo/DOID_9351,,
http://purl.obolibrary.org/obo/DOID_9352,,
http://purl.obolibrary.org/obo/DOID_9970,,
http://purl.obolibrary.org/obo/GO_0001525,,
http://purl.obolibrary.org/obo/GO_0005577,,
http://purl.obolibrary.org/obo/GO_0006954,,
http://purl.obolibrary.org/obo/GO_0006955,,
http://purl.obolibrary.org/obo/GO_0008150,,
http://purl.obolibrary.org/obo/GO_0010467,,
http://purl.obolibrary.org/obo/GO_0032991,,
http://purl.obolibrary.org/obo/GSSO_008334,,
http://purl.obolibrary.org/obo/GSSO_012786,,
http://purl.obolibrary.org/obo/HP_0001919,,
http://purl.obolibrary.org/obo/HP_0004934,,
http://purl.obolibrary.org/obo/HP_0012823,,
http://purl.obolibrary.org/obo/HP_0031796,,
http://purl.obolibrary.org/obo/IAO_0000027,,
http://purl.obolibrary.org/obo/IAO_0000030,,
